#separator:tab
#html:false
das Abenteuer	приключение, авантюра
abhängen (von)	зависеть (от)
abmachen	договориться
abschließen	заканчивать, закрывать
abstimmen	голосовать, согласовывать
abwaschen	мыть посуду
achten (auf)	следить (за), обращать внимание (на)
ähnlich	похожий
die Aktion	акция, мероприятие
aktuell	актуальный
aller-	все– (приставка)
allerdings	однако, разумеется, тем не менее
allgemein	в общем, общий
als	как
als ob	как будто
das Altenheim	дом престарелых
der Anbieter	поставщик, провайдер
ändern (sich)	меняться, изменять(ся)
die Änderung	изменение
anfangs	сначала, в начале
die Angabe	сведения, утверждение
angeben	указывать, заявлять, сообщать, хвастаться
angehen	касаться, начинаться
angestellt	наёмный
der/die Angestellte	служащий/ая
ängstlich	трусливый, тревожный
anklicken	кликать (мышью)
ankreuzen	отмечать крестиком
die Anlagen	приложения, устройства, сооружения
anschließen	подключать, присоединять
die Ansicht	вид, мнение
der Antwortbogen	ответный бланк
die Anzahl	количество
an·zeigen	сообщать, объявлять
der Arbeitgeber	работодатель
die Arbeitsatmosphäre	атмосфера на работе
der Ärger	злость, неприятности
die Art	вид, характер
der Artikel	статья, артикль
atmen	дышать
die Atmosphäre	атмосфера
auffordern	попросить, призывать
die Aufforderung	просьба, требование
aufgeben	сдаваться, отказываться, задавать (урок)
aufhalten	останавливать, задерживать
aufhören	прекращать
aufmerksam	внимательный
aufnehmen	принимать, записывать
der Auftrag	заказ, поручение, задание
aufwachen	просыпаться
der Augenblick	мгновение
auseinander	по отдельности, раздельно
das Ausland	зарубежье
ausnahmsweise	в исключительных случаях, как исключение
ausreichend	достаточный
ausschließlich	исключительно
aus sein	быть выключенным, отсутствовать
aussuchen	выбирать
außen	снаружи
außer	кроме, кроме того
außerhalb	за пределами
die Auswahl	выбор
automatisch	автоматически
der Bäcker	пекарь
der Balkon	балкон
die Band	группа (музыкальная)
bauen	строить
bedanken (sich)	благодарить (кого-л.)
bedienen	обслуживать, пользоваться
die Bedingung	условие
die Bedienungsanleitung	инструкция по эксплуатации
befinden (sich)	находиться, чувствовать себя
begegnen	встречать(ся)
begeistert	в восторге
begleiten	сопровождать
begrüßen	приветствовать
die Behörde	власти, учреждение
beißen	кусать
bekannt	известный
der/die Bekannte	знакомый/ая
der Beleg	квитанция, доказательство
beleidigen	оскорблять
benötigen	нуждаться
beraten	консультировать, советовать
berechnen	рассчитывать, вычислять
berechtigt	оправданный, имеющий право
bereit	готовый
bereits	уже
der Bericht	отчёт, сообщение
berichten	сообщать, докладывать
beruhigen (sich)	успокаивать(ся)
beschädigen	повреждать
beschäftigen (sich)	заниматься (чем-л.)
beschreiben	описывать
die Beschreibung	описание
besitzen	владеть
besorgen	добывать, заботиться
besprechen	обсуждать
die Bestellung	заказ
beteiligen (sich)	участвовать
der Betreuer	куратор, воспитатель
die Betreuung	уход, сопровождение
bevor	прежде чем
die Beziehung	отношение, связь
die Bibliothek	библиотека
Bio-	био–
bitten	просить
bloß	лишь, только
das Blut	кровь
braten	жарить
buchen	бронировать
die Cafeteria	кафетерий
die Chance	шанс, возможность
der Chip	чип
dabei	при этом, рядом
das Dach	крыша
damit	чтобы, с этим
die Datei	файл
die Daten	данные
das Dessert	десерт
deswegen	поэтому
deutlich	ясно, отчётливо
der Dialog	диалог
die Diät	диета
diesmal	в этот раз
digital	цифровой
Doppel-	двойной–
drinnen	внутри
das Drittel	треть
duzen	"обращаться на ""ты"""
ebenfalls	также
das E-Book	электронная книга
die Ehe	брак
das Eigentum	собственность
die Eile	поспешность
der Einbrecher	взломщик, грабитель
die Einfahrt	въезд
einig-	некоторый, объединённый (приставка)
einigen (sich) (mit)	договориться (с кем-л.)
die Einleitung	введение
die Einnahme	приход, доход
einnehmen	принимать (лекарство), занимать (позицию)
einschlafen	засыпать
einstellen	настраивать, принимать на работу
eintragen	вносить, регистрировать
einwerfen	бросать (в почтовый ящик)
einziehen	въезжать, втягивать
einzig-	единственный–
elektronisch	электронный
der Elternabend	родительское собрание
der Empfang	приём, ресепшн
empfangen	принимать, встречать
die Empfehlung	рекомендация
endgültig	окончательный
entstehen	возникать
enttäuschen	разочаровывать
die Enttäuschung	разочарование
entschließen (sich)	решаться
entweder … oder	либо … либо
entwickeln (sich)	развиваться
die Entwicklung	развитие
erfolgreich	успешный
das Ergebnis	результат
die Erholung	отдых, восстановление
erkennen	узнавать, распознавать
die Erlaubnis	разрешение
das Erlebnis	переживание, событие
erleichtern	облегчать
erreichen	достигать
erschrecken	пугать, испугаться
ersetzen	заменять
erstellen	создавать
erwarten	ожидать
etwa	примерно, около
eventuell	возможно
extrem	чрезвычайно, экстремальный
die Fabrik	фабрика
der Fachmann, Fachleute	специалист, специалисты
das Fahrzeug	транспортное средство
der Fall	случай, падение
falls	если
fehlen	отсутствовать, не хватать
der Feierabend	конец рабочего дня, свободное время после работы
fein	изящный, тонкий
das Feld	поле
das Festival	фестиваль
die Festplatte	жёсткий диск
das Fett	жир
die Figur	фигура
finanziell	финансовый
flexibel	гибкий
fließend	бегло
die Folge	последствие, серия
folgen	следовать
fördern	поддерживать, способствовать
