#separator:tab
#html:false
der Abend	вечер
aber	но
die Adresse	адрес
all-	весь-/вся-/всё-
also	итак/следовательно
alt	старый
das Alter	возраст
am	в/на (при указании времени/дня)
am Morgen/Montag/...am Wochenende	утром/в понедельник/...в выходные
ander-	другой-
anfangen	начинать
angenehm	приятный
die Anmeldung	регистрация
der Anruf	звонок
der Anrufbeantworter	автоответчик
anrufen	звонить
das Apartment	апартаменты
der Apfel	яблоко
Arabisch	(язык) арабский
die Arbeit	работа
arbeiten	работать
der Arzt	врач
auch	также
auf Deutsch	на немецком
auf keinen/jeden Fall	ни в коем/в любом случае
aufräumen	убирать
aufstehen	вставать
auf Wiederhören	до свидания (по телефону)
auf Wiedersehen	до свидания
aus	из/от
der Ausflug	поездка/экскурсия
das Auto	автомобиль
backen	печь
das Bad	ванная
die Badewanne	ванна
der Balkon	балкон
die Banane	банан
der Bauch	живот
der Becher	стаканчик
bei	у/при
besonders	особенно
besuchen	посещать
das Bett	кровать
bewölkt	облачно
bezahlen	платить
das Bier	пиво
billig	дешёвый
die Birne	груша
bis	до
bitte	пожалуйста
blau	синий
brauchen	нуждаться
braun	коричневый
breit	широкий
der Brief	письмо
das Brot	хлеб
das Brötchen	булочка
der Bruder	брат
das Buch	книга
der Buchstabe	буква
buchstabieren	произносить по буквам
Bulgarisch	(язык) болгарский
die Butter	масло
der Cent	цент
chatten	чатиться
circa (ca.)	около
die Cola	кола
der Computer	компьютер
da sein	быть на месте
die Dame	дама
danke	спасибо
dein-	твой-
denn	ибо/же
der/das Ketchup	кетчуп
Deutsch	(язык) немецкий
der/die Deutsche	немец(кий/кая)
Deutschland	Германия
der Dienstag	вторник
das Diktat	диктант
dir	тебе
doch	всё же/однако
der Donnerstag	четверг
dort	там
die Dose	жестяная банка
du	ты
dumm	глупый
dunkel	тёмный
der Durst	жажда
die Dusche	душ
die Ehefrau	жена
der Ehemann	муж
das Ehepaar	супружеская пара
das Ei	яйцо
ein-	один-/входной префикс
ein bisschen	немного
einfach	просто
einkaufen	покупать
einmal	один раз/как-нибудь
der Eintritt	вход
das Eis	мороженое
Elektro-	электро-
die Eltern	родители
die E-Mail	электронное письмо
endlich	наконец
Englisch	(язык) английский
der Enkel	внук
die Enkelin	внучка
die Enkelkinder	внуки/внучки
die Entschuldigung	извинение
er	он
erst	сначала/только что
es	оно
essen	есть
das Essen	еда
etwas	что-то/немного
der Euro	евро
fahren	ехать/ездить
das Rad	колесо
das Fahrrad	велосипед
die Familie	семья
der Familienname	фамилия
der Familienstand	семейное положение
die Farbe	цвет
fernsehen	смотреть телевизор
der Fernseher	телевизор
fertig (sein)	быть готовым
der Film	фильм
finden	находить/считать
die Firma	фирма
der Fisch	рыба
die Flasche	бутылка
das Fleisch	мясо
der Flur	прихожая
fotografieren	фотографировать
Französisch	(язык) французский
die Frau	женщина/жена
frei	свободный
der Freitag	пятница
die Freizeit	свободное время
der Freund	друг
die Freundin	подруга
früh	рано
der Frühling	весна
das Frühstück	завтрак
frühstücken	завтракать
für	для
der Fußball	футбол
ganz	весь/совсем
gar	вовсе
die Garage	гараж
der Garten	сад
geboren	рождённый
der Geburtsort	место рождения
gefallen	нравиться
gehen	идти
gelb	жёлтый
das Gemüse	овощи
genau	точно
geöffnet	открыто
gern(e)	охотно/с радостью
das Geschäft	магазин
geschieden	разведённый
die Geschwister	братья и сёстры
das Gespräch	разговор
gestern	вчера
das Getränk	напиток
die Gitarre	гитара
glauben	полагать/верить
das Grad	градус
das Gramm	грамм
grau	серый
Grill-	гриль-
grillen	жарить на гриле
groß	большой
die Großeltern	бабушка и дедушка
die Großmutter	бабушка
der Großvater	дедушка
grün	зелёный
die Grundschule	начальная школа
die Gruppe	группа
der Gruß	приветствие
gut	хорошо
haben	иметь
das Hackfleisch	фарш
halb	половина/половинный
hallo	привет
der Hamburger	гамбургер
hässlich	уродливый
die Hauptstadt	столица
das Haus	дом
die Hausaufgabe	домашнее задание
die Hausnummer	номер дома
die Heimat	родина
heiß	жаркий/горячий
heißen	зваться
helfen	помогать
hell	светлый
der Herbst	осень
der Herd	плита
der Herr	господин
herzlich	сердечный
heute	сегодня
hier	здесь
das Hobby	хобби
hoch	высокий
hören	слышать
der Hund	собака
der Hunger	голод
ich	я
ihr	вы/ее/твой (в зависимости от формы)
Ihr-	Ваш-
in	в
die Information	информация
inklusive (inkl.)	включая
interessant	интересный
international	международный
das Internet	интернет
der Irak	Ирак
ja	да
das Jahr	год
jed-	каждый-
jetzt	сейчас
der Joghurt	йогурт
der Junge	мальчик
der Kaffee	кофе
kalt	холодный
die Kartoffel	картофель
der Käse	сыр
kaufen	покупать
die Kaution	залог
kein-	никакой/не-
kennen	знать
das Kilo(gramm)	килограмм
der Kilometer	километр
das Kind	ребёнок
der Kindergarten	детский сад
das Kinderzimmer	детская комната
das Kino	кино
die Kiwi	киви
die Klasse	класс
klein	маленький
kochen	готовить
kommen	приходить
können	мочь
der Kontakt	контакт
kosten	стоить
krank	больной
der Krimi	детектив (фильм/книга)
die Küche	кухня
der Kuchen	пирог
der Kühlschrank	холодильник
der Kunde	клиент
der Kurs	курс
der Laden	лавка/магазин
die Lampe	лампа
das Land	страна
lang	длинный
lange	долго
leben	жить
das Lebensmittel	продукт питания
ledig	неженат/незамужем
der Lehrer	учитель
die Lehrerin	учительница
leider	к сожалению
leidtun	жалеть/сожалеть
lernen	учить(ся)
lesen	читать
lieb-	любимый-
lieben	любить
Lieblings-	любимый-
das Lied	песня
der Liter	литр
los (losgehen)	начинаться/отправляться
los sein	быть свободным/начавшимся
losfahren	отправляться (на транспорте)
die Lösung	решение
machen	делать
das Mädchen	девочка
mal	раз/пожалуйста (в выражениях)
malen	рисовать
die Mama	мама
der Mann	мужчина/муж
die Mathematik	математика
maximal	максимальный
das Mehl	мука
mehr	больше
mein-	мой-
der Meter	метр
die Miete	арендная плата
die Milch	молоко
das Mineralwasser	минеральная вода
minus	минус
mit	с
mitbringen	приносить с собой
mitkommen	приходить вместе
der Mittag	полдень
die Mitte	середина
der Mittwoch	среда
die Möbel	мебель
möbliert	меблировано
möchten	хотеть (вежл.)
modern	современный
mögen	любить/нравиться
der Moment	момент
der Monat	месяц
der Montag	понедельник
morgen	завтра
der Morgen	утро
müde	уставший
die Musik	музыка
die Mutter	мать
die Mütze	шапка
nach	после/к
nach Hause	домой
der Nachmittag	послеобеденное время
der Nachname	фамилия
die Nachricht	сообщение/новость
Nachrichten schreiben	писать сообщения/новости
die Nacht	ночь
der Name	имя
natürlich	конечно
nehmen	брать
nein	нет
neu	новый
nicht	не
noch	еще
