#separator:tab
#html:false
guten Tag	добрый день
der Tag	день
der Name	имя
die Folge	часть
sein	быть
ich	я
Das bin ich.	Это я.
ansehen	посмотреть
das Foto	фото
Sie	Вы
hören	слушать
wer	кто
verbinden	связывать
heißen	называться
was	что
richtig	правильно
noch	еще
einmal	один раз, однажды
ankreuzen	отметить крестиком
kommen	приходить
aus	из
Deutschland	Германия
sprechen	говорить
Polnisch	польский
und	и
Deutsch	немецкий
Englisch	английский
ein bisschen	немного
Spanisch	испанский
Polen	Польша
sagen	сказать
zuordnen	подбирать, сочетать
hallo	привет
auf Wiedersehen	до свидания
tschüs	пока
der Herr	господин
das Kind	ребенок
guten Abend	добрый вечер
der Abend	вечер
die Dame	дама
willkommen	добро пожаловать
bei	у
die Musik	музыка
international	международный
guten Morgen	доброе утро
der Morgen	утро
die Frau	женщина
danke	спасибо
gute Nacht	спокойной ночи
die Nacht	ночь
der Papa	папа
ergänzen	дополнить
machen	делать
das Kärtchen	карточка
der Kurs	курс
lesen	читать
das Gespräch	разговор
die Entschuldigung	извинение
wie	как
freuen (sich)	радоваться
herzlich willkommen	добро пожаловать
der Park	парк
das Klinikum	клиника
jetzt	сейчас
spielen	играть
Ihr-	Ваш
das Beispiel	пример
suchen	искать
bekannt-	знакомый, известный
die Person	человек
zeigen	показывать
fragen	спрашивать
ja	да
stimmen	быть правильным
nein	нет
wissen	знать
schon	уже
fertig (sein)	готов (быть готовым)
du	ты
woher	откуда
Österreich	Австрия
Rumänien	Румыния
Syrien	Сирия
Ungarn	Венгрия
Iran	Иран
Irak	Ирак
der Jemen	Йемен
der Sudan	Судан
die Schweiz	Швейцария
die Türkei	Турция
die Ukraine	Украина
USA	США
der Deutschkurs	курс немецкого языка
markieren	отмечать
die Frage	вопрос
Indien	Индия
toll	здорово
Thailand	Таиланд
interessant	интересный
antworten	отвечать
gut	хороший
schön	красивый
auch	тоже
Türkisch	турецкий
vergleichen	сравнивать
die Sprache	язык
Arabisch	арабский
Bulgarisch	болгарский
Französisch	французский
Griechisch	греческий
Italienisch	итальянский
Rumänisch	румынский
Russisch	русский
Ungarisch	венгерский
der Partner	партнер
die Partnerin	партнерша
der Film	фильм
der Buchstabe	буква
das Alphabet	алфавит
nachsprechen	повторять
buchstabieren	произносить по буквам
wie bitte	простите
bitte	пожалуйста
das Telefongespräch	телефонный разговор
die Firma	фирма
der Moment	момент
leidtun	вызывать жалость
vielen Dank	большое спасибо
auf Wiederhören	до свидания (по телефону)
das Spiel	игра
die Buchstabenmaus	буквенная мышка
raten	угадывать
das Wort	слово
die Lektion	урок
die Adresse	адрес
die Visitenkarte	визитная карточка
der Vorname	имя
der Familienname	фамилия
der Nachname	фамилия
die Straße	улица
die Stadt	город
das Land	страна
der Produzent	продюсер
die Produzentin	продюсерша
das Schuhhaus	обувной магазин
der Inhaber	владелец
die Inhaberin	владелица
deutsch	немецкий
die Krankenkasse	медицинская страховка
die E-Mail	электронное письмо
die Allgemeinmedizin	общая медицина
das Telefon	телефон
der Text	текст
das Recht	право
Liechtenstein	Лихтенштейн
das Formular	формуляр
die Fremdsprache	иностранный язык
die Anmeldung	регистрация
die Hausnummer	номер дома
die Postleitzahl	почтовый индекс
