#separator:tab
#html:false
der Pole	поляк
die Polin	полька
der Kanadier	канадец
die Kanadierin	канадка
umziehen	переодеваться, переезжать
verbessern	улучшать
hoffen	надеяться
kennenlernen	знакомиться
miteinander	вместе, друг с другом, совместно
glücklich	счастливый
ansehen	смотреть
skypen	общаться по скайпу
der Nachbar	сосед
die Nachbarin	соседка
der Einkauf	покупка
klappen	получаться
das Zentrum	центр
das Gefühl	чувство
der Anfang	начало
vermissen	скучать
weil	потому что
der Mensch	человек
der Arbeitgeber	работодатель
die Arbeitgeberin	работодательница
der Eintrag	запись
das Online-Tagebuch	онлайн-дневник
gestern	вчера
der Umzug	переезд
Sachen	вещи
auspacken	распаковывать
einschlafen	засыпать
der Wecker	будильник
merken	замечать
schließlich	в конце концов
sogar	даже
der Arbeitstag	рабочий день
der Tagebuch-Eintrag	запись в дневнике
der Kommentar	комментарий
klingen	звучать
erleben	переживать
die Panne	неполадка
der Alltag	будни
der Mist	чепуха
verpassen	пропустить
bemerken	замечать
erfahren	узнавать
vorstellen	представлять
die Geldbörse	кошелек
verlieren	терять
das Pech	неудача
die Kreditkarte	кредитная карта
stoßen	толкать
peinlich	неловко
die Alltagspanne	повседневная неудача
die Bahn	поезд
der Cousin	двоюродный брат
die Cousine	двоюродная сестра
der Neffe	племянник
die Nichte	племянница
der Onkel	дядя
die Tante	тётя
der Schwager	шурин
die Schwägerin	золовка
sympathisch	симпатичный
das Familienmitglied	член семьи
das Mitglied	участник
die Wohnform	форма проживания
die Lebensform	образ жизни
das Mietshaus	дом с квартирами
wahrscheinlich	вероятно
die Wohngemeinschaft	совместное проживание
alleinerziehend	одинокий родитель
der Single	одинокий человек
das Dach	крыша
bisher	до сих пор
verschieden	различный
das Viertel	район
der Mieter	арендатор
die Mieterin	арендаторша
einziehen	въезжать
das Mal	раз
komisch	странный
jemand	кто-то
das Software-Unternehmen	программная компания
das Land	страна
die Zwei-Zimmer-Wohnung	двухкомнатная квартира
reichen	хватать
teilen	делить
das Hochhaus	высотный дом
ausziehen	выезжать, снимать (одежду)
der Platz	место
jeder	каждый
benutzen	использовать
gemeinsam	вместе
sonst	иначе
nun	теперь
normalerweise	обычно
schwanger	беременная
der Schwiegervater	тесть
die Schwiegermutter	теща
Schwiegereltern	родители супруга
das Enkelkind	внук/внучка
der Haushalt	домашнее хозяйство
die Rente	пенсия
die Ausrede	отговорка
der Genitiv	родительный падеж
recht haben	быть правым
der Liedtext	текст песни
umschreiben	переписывать
etwa	примерно
minderjährig	несовершеннолетний
das Prozent	процент
das Paar	пара
die Lebensgemeinschaft	гражданский брак
der Alleinerziehende	одинокий родитель (муж.)
die Familienform	тип семьи
das Rad	велосипед
die Zimmersuche	поиск комнаты
der Flughafen	аэропорт
die Theaterkarte	билет в театр
unbedingt	обязательно
denn	ведь
wirklich	действительно
joggen	бегать трусцой
zurückfahren	ехать обратно
die Bushaltestelle	автобусная остановка
die Postkarte	открытка
der Spaziergang	прогулка
die Ostsee	Балтийское море
die Bar	бар
der Marktplatz	рыночная площадь
morgens	утром
besichtigen	осматривать
versuchen	пытаться
die SMS	смс
packen	упаковывать
laufen	бежать, бегать
freundlich	дружелюбный
süß	милый, сладкий
das Baby	младенец
planen	планировать
froh	радостный
der Esstisch	обеденный стол
wohl	вероятно
mithelfen	помогать
die Handtasche	дамская сумка
natürlich	конечно
der Lerntipp	совет по обучению
schwierig	сложный
der Tipp	совет
die Wortkarte	карточка со словом
der Konversationskurs	разговорный курс
die Arbeitsbuch-CD	CD к рабочей тетради
die Grammatik	грамматика
der Wortschatz	словарный запас
der Hörtext	аудиотекст
der Fehler	ошибка
schriftlich	письменно
der Arbeitsauftrag	рабочее задание
vertreten	замещать
Bescheid geben	сообщить
der Auftrag	задание
die Vertretung	замещение
die Glühbirne	лампочка
die Energiesparlampe	энергосберегающая лампа
die Energie	энергия
Ohrenstöpsel	беруши
nichts	ничего
die Menge	количество
der Kugelschreiber	ручка
stecken	вставлять
das Schloss	замок
stehen	стоять
die Leiter	лестница
der Papierkorb	корзина для бумаг
das Bild	картина
die Wand	стена
die Katze	кошка
legen	класть
selbst	сам
wechseln	менять
die Decke	потолок
hängen	висеть
der Dank	благодарность
der Arbeitsplatz	рабочее место
der Lernplatz	место для учебы
einrichten	обустраивать, настраивать
die Ruhe	тишина
die Ordnung	порядок
das Schild	табличка
stören	мешать
stellen	ставить
der Stift	карандаш
die Schublade	ящик
bauen	строить
beschreiben	описывать
dahin	туда
hierhin	сюда
dorthin	туда
die Pflanze	растение
rauf	наверх
die Vorsicht	осторожность
herunterfallen	падать вниз
rein	внутрь
der Müll	мусор
raus	наружу
rüber	через
reinkommen	входить
rübergeben	передавать через
rauskommen	выходить
rausbringen	выносить
die Mitteilung	сообщение
der Bewohner	житель
die Bewohnerin	жительница
trennen	разделять
sorgfältig	тщательно
Bio-	био-
der Abfall	отходы
das Plastik	пластик
beachten	обращать внимание
die Müllabfuhr	вывоз мусора
leeren	опорожнять
befüllen	наполнять
die Mülltonne	мусорный контейнер
die Mithilfe	помощь
die Einfahrt	въезд
der Hof	двор
abstellen	оставлять
die Hausverwaltung	домоуправление
kündigen	расторгать
der Vertrag	договор
fristgerecht	в срок
der Wohnungsübergabetermin	дата передачи квартиры
der Einzug	въезд
raufkommen	подниматься
das Verständnis	понимание
die Modernisierung	модернизация
abschließen	заключать
niedrig	низкий
Kosten	расходы
erhöhen	повышать
die Kaltmiete	аренда без отопления
die Heizungsablesung	снятие показаний отопления
ablesen	снимать показания
demnächst	скоро
entfernen	удалять
der Gegenstand	предмет
die Abwesenheit	отсутствие
die Regel	правило
der Kinderwagen	детская коляска
der Aufzug	лифт
die Treppe	лестница
der Briefkasten	почтовый ящик
das Treppenhaus	лестничная клетка
bellen	лаять
die Lösung	решение
ziemlich	довольно
die Frage	вопрос
die Bitte	просьба
die Absicht	намерение
die Jahresablesung	годовое снятие показаний
die Frühschicht	утренняя смена
die Schicht	смена
lassen	оставлять
werfen	бросать
aufpassen	быть внимательным
gießen	поливать
klingeln	звонить
besprechen	обсуждать
geschäftlich	деловой
füttern	кормить
der Handwerker	ремесленник
die Wechselpräposition	предлог с разными падежами
das Direktionaladverb	направительное наречие
reagieren	реагировать
die Grußformel	форма приветствия
die Richtung	направление
genauso	точно так же
das Blatt	лист
der Radiergummi	ластик
hochtragen	поднимать наверх
unsympathisch	неприятный
reingehen	входить
raufgehen	подниматься
rübergehen	перейти
runtergehen	спускаться
rausgehen	выходить
der Ball	мяч
das Chaos	хаос
meistens	чаще всего
bloß	только
nachsehen	проверять
praktisch	практичный
das Bettsofa	диван-кровать
gegenüber	напротив
dekorieren	украшать
die Tonne	бочка
rausstellen	выставлять
reinbringen	заносить
runterfahren	спускать
rüberfahren	перевозить
rüberbringen	переносить
einlegen	вставлять
der Widerspruch	возражение
heizen	отапливать
die Ablesung	снятие показаний
kostenlos	бесплатно
der Finder	нашедший
offen	открытый
wegstellen	убирать
raufbringen	поднимать
das Warmwasser	горячая вода
stattfinden	состояться
der Messdienst	служба измерений
der Heizungsdienst	служба отопления
erwarten	ожидать
das Paket	посылка
der Gewerberaum	коммерческое помещение
die Schneiderin	портниха
eröffnen	открывать
das Objekt	объект
die Objektart	тип объекта
die Provision	комиссия
die Mehrwertsteuer	НДС
die Ausstattung	оборудование
die Fliese	плитка
das Schaufenster	витрина
das WC	туалет
die Immobilienvermittlung	агентство недвижимости
der Anbieter	предлагающий
kontaktieren	связываться
inklusive	включая
der Makler	риэлтор
die Maklerin	риэлторша
anklicken	кликать
erreichen	достигать
die Kontaktanfrage	запрос контакта
die Mietdauer	срок аренды
die Mietsicherheit	гарантия аренды
die Zahlung	оплата
der Vermieter	арендодатель
die Vermieterin	арендодательница
folgend	следующий
die Wohnfläche	жилая площадь
unbefristet	бессрочный
gelten	действовать
die Kündigungsfrist	срок расторжения
möglich	возможный
die Grundmiete	базовая аренда
die Vorauszahlung	предоплата
die Gesamtmiete	общая аренда
im Voraus	заранее
spätestens	не позднее
der Werktag	рабочий день
das Konto	счет
überweisen	переводить
der Kontoinhaber	владелец счета
die Kontoinhaberin	владелица счета
die IBAN	номер IBAN
die BIC	код BIC
in Höhe von	в размере
der Honig	мёд
die Nuss	орех
die Nachspeise	десерт
der Espresso	эспрессо
griechisch	греческий
der Auflauf	запеканка
selten	редко
stimmen	быть верным
unterwegs	в пути
die Mahlzeit	приём пищи
mittags	днём
lieben	любить
die Tasse	чашка
bestimmt	определённо
das Essen	еда
das Mittagessen	обед
die Kantine	столовая
fast	почти
vegetarisch	вегетарианский
das Gericht	блюдо
die Gewohnheit	привычка
übernehmen	брать на себя
die Marmelade	варенье
deutsch	немецкий
das Schwein	свинья
der Alkohol	алкоголь
zweimal	дважды
der Pizzaservice	служба доставки пиццы
der Löffel	ложка
das Messer	нож
der Teller	тарелка
die Gabel	вилка
das Quartett	квартет
die Kanne	чайник
